title,price,rating,link
"PSS Faceplate For PS5 Disc edition, Side Plate for PS5, Replacement Shell Cover Plates for Playstation 5 CD Vesrion - Black","1,849.",4.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfbXRmOjMwMDM0MDEwMDU2MjczMjo6MDo6&url=%2FPSS-Faceplate-Replacement-Playstation-Vesrion%2Fdp%2FB0CLPBCXDJ%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"MrDeal Storage Bag for PS5, Carrying Case for PS5, Travel Bag for PS5, Carrying Case for PS5 Hard Shell, PS5 Travel Bag Waterproof and Shockproof Nylon Fabric","1,998.",4.1 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfbXRmOjMwMDM0NzgwMjY0ODYzMjo6MDo6&url=%2FMrDeal-Storage-Carrying-Waterproof-Shockproof%2Fdp%2FB0963H9HZF%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Sony God Of War Ragnarok | Standard Edition | PS5 Game (PlayStation 5),"2,500.",4.7 out of 5 stars,https://www.amazon.in/Sony-Ragnarok-Standard-Game-PlayStation/dp/B0B6FGSKCQ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-13
Sony Dualsense Edge Wireless Controller (Playstation 5),"16,749.",4.4 out of 5 stars,https://www.amazon.in/Sony-DualSense-Wireless-Controller-PlayStation/dp/B0BMPLHLZ9/ref=sr_1_14?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-14
EA Sports FC 25 | Standard Edition | PlayStation 5,"4,999.",4.0 out of 5 stars,https://www.amazon.in/EA-Sports-FC-Standard-PlayStation/dp/B0D9NCPRJZ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-15
CD Project Red Cyberpunk 2077 - Phantom Liberty | Ultimate Edition | PlayStation 5,"2,939.",4.8 out of 5 stars,https://www.amazon.in/CD-Project-Red-Cyberpunk-2077/dp/B0CP8143HY/ref=sr_1_16?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-16
2K Games Wwe 2K24 | Standard Edition | Playstation 5,"2,699.",4.0 out of 5 stars,https://www.amazon.in/2K-Games-2K24-Standard-Playstation/dp/B0CTHJRCLR/ref=sr_1_17?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-17
"PlayStation Sony Ps5 Pulse 3D Gaming Wireless Over Ear Headset With Dual Noise-Cancellation Mic, 3.5Mm Jack, Tempest 3D Audio, Usb Type-C Charging, 12H Battery (White)","7,999.",4.3 out of 5 stars,https://www.amazon.in/Sony-Wireless-Headset-Noise-Cancellation-charging/dp/B08H99878P/ref=sr_1_18?dib=eyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA&dib_tag=se&keywords=playstation+5&qid=1729391344&sprefix=pla%2Caps%2C464&sr=8-18
"PSS Travel Bag for PS5 Slim Console and 2 Controller, Cary Cash for Platstation 5 Slim Compatible, Waterproof EVA Hard Protective Bag with Handle Strap for PS5 Slim Accessories Only Bag (Grey)","1,998.",4.2 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfYnRmOjMwMDI0MjcyODkxNTkzMjo6MDo6&url=%2FPSS-Controller-Platstation-Compatible-Accessories%2Fdp%2FB0D294XF7S%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"NiTHO Mini Charger for PS5 & PS5 Edge Controllers, Foldable Charger Controller Holder Compatible with PlayStation 5 Slim, Mini Charging Base Attachment for PS5 Slim Console - for PS5 Slim (2023) ONLY",449.,3.5 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfYnRmOjMwMDM2ODc1NTI5MzkzMjo6MDo6&url=%2FControllers-Controller-Compatible-PlayStation-Attachment%2Fdp%2FB0D66TR97B%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"PSS Hard Carrying Case Storage Bag for PS5, Travel Bag Compatible for Play/Station 5 Console Disk Digital & 2 Controller, Stand, Cable, Waterproof and Shockproof Nylon Fabric (PS5 Accessories)","2,499.",5.0 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfYnRmOjMwMDI1NDkwODgwNjYzMjo6MDo6&url=%2FPSS-Compatible-Controller-Waterproof-Accessories%2Fdp%2FB0D7YV97Z6%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Dorca® Dust Cover for Sony PlayStation 5 Cover Disc & Digital Edition,236.,4.3 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNjgwMTk0MDIwMTgxNTcyOjE3MjkzOTEzNDQ6c3BfYnRmOjIwMDc4NTU5NTc5OTk4OjowOjo&url=%2FDorca%25C2%25AE-Dust-Cover-Playstation-Digital%2Fdp%2FB0BBB4LQS7%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.pFhgCqcURNHp7Ghh6tpkbr3wM7lOnFnLWPSDBBE7NSnUb6MLCG2Z31Rdll-yIcv_gRfvQAZ0cAAWM2uv9qyknng30zFYTxFbiErdl7H9lDBloS3C08EY3vr-DySawUjCHU9fu4bv1RFHfWB6MSm9GVJzkAeSGNpZzAaHMv7P_N8fa_rQOjBafpvqicK103GmZmWNoUal5pH9MHD93X0JXC4OkxAi4O--DOr_rKa_S9E.dMpSemL2nEfG_pMfgwvHAPxiq9WDyWiVbUBk9A2rvBA%26dib_tag%3Dse%26keywords%3Dplaystation%2B5%26qid%3D1729391344%26sprefix%3Dpla%252Caps%252C464%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
